Soraia Teixeira,Portalegre, 03 08 10 19 
Fernando Santos,Castelo Branco, 03 08 17 20 
Ana Pinto,Guarda, 04 06 07 18 
Helena Batista,Braga, 01 13 14 17 
Fernando Silva,Guarda, 05 09 17 19 
Joana Teixeira,Braga, 04 08 14 15 
Eduardo Oliveira,Braganca, 07 09 12 16 
Carla Aguiar,Coimbra, 05 07 12 15 
Fernando Pascoal,Braga, 04 08 12 17 
David Batista,Aveiro, 02 03 17 20 
Julio Nunes,Lisboa, 08 11 13 20 
Inacio Vilela,Braga, 11 13 17 20 
Daniela Santos,Aveiro, 10 12 13 16 
Alexandre Gomes,Viseu, 04 05 13 14 
Luis Morais,Braga, 03 15 16 18 
Luisa Andrade,Viseu, 04 11 12 14 
Helena Morais,Porto, 02 06 11 20 
Jose Gomes,Coimbra, 03 07 10 17 
Alexandre Andrade,Portalegre, 02 07 10 20 
Rogerio Costa,Castelo Branco, 02 03 10 15 
Jose Vilela,Castelo Branco, 03 04 11 18 
Rogerio Gomes,Porto, 01 03 08 15 
Daniel Santos,Faro, 03 10 11 16 
Alexandre Morais,Lisboa, 02 06 14 15 
Carlos Pinto,Guarda, 05 09 10 15 
Carlos Rodrigues,Evora, 11 14 15 17 
Jose Bastos,Vila Real, 01 08 15 16 
Xavier Pinto,Aveiro, 04 07 16 20 
Maria Pinho,Porto, 01 02 08 10 
Paulo Morais,Viana do Castelo, 08 13 15 18 
Daniel Seabra,Braganca, 05 13 18 20 
Inacio Aguiar,Beja, 07 11 12 19 
Jose Costa,Evora, 12 13 18 20 
Xavier Rodrigues,Faro, 03 10 15 20 
Rogerio Costa,Viseu, 06 07 12 15 
Agostinho Jesus,Coimbra, 02 07 13 20 
Jose Santos,Faro, 01 02 10 15 
Maria Aguiar,Lisboa, 04 10 14 18 
Daniela Pinho,Coimbra, 01 03 04 05 
Xavier Marinho,Setubal, 10 11 15 19 
Helena Salgado,Viseu, 02 06 17 20 
Beatriz Aguiar,Vila Real, 02 04 08 11 
Pedro Vilela,Beja, 04 05 13 19 
Beatriz Salgado,Lisboa, 14 16 17 18 
Pedro Marinho,Castelo Branco, 03 14 18 20 
Filipa Vilela,Vila Real, 06 10 17 18 
Daniel Pascoal,Portalegre, 05 10 12 13 
Carla Santos,Viana do Castelo, 03 05 13 18 
Inacio Abreu,Evora, 10 11 15 16 
Diogo Pinto,Castelo Branco, 01 03 04 19 
Luis Teixeira,Coimbra, 04 06 09 18 
Inacio Trindade,Porto, 08 10 11 16 
David Andrade,Porto, 06 14 15 18 
Luis Abreu,Guarda, 07 12 13 20 
Beatriz Batista,Lisboa, 01 03 07 17 
Paula Pinto,Beja, 05 11 12 20 
Paulo Jesus,Guarda, 12 15 17 20 
Sonia Pascoal,Portalegre, 07 09 11 18 
Carla Rodrigues,Aveiro, 04 06 11 18 
Eduarda Marques,Beja, 06 07 12 13 
Bernardo Jesus,Evora, 08 10 11 12 
Diogo Pereira,Vila Real, 02 12 13 19 
Luis Pinho,Braga, 04 06 07 16 
Rogerio Bastos,Faro, 01 11 16 17 
Fernanda Salgado,Lisboa, 02 06 10 19 
Susana Teixeira,Guarda, 03 04 12 13 
Julio Bastos,Beja, 01 02 06 20 
Daniel Marinho,Porto, 01 05 12 14 
Paulo Pereira,Beja, 05 07 10 18 
Filipe Lopes,Evora, 02 03 09 12 
Susana Gomes,Beja, 01 04 13 19 
Daniela Vilela,Evora, 12 13 17 19 
Luisa Silva,Evora, 08 13 14 16 
Filipa Marinho,Evora, 01 03 04 17 
Filipe Lopes,Lisboa, 05 10 14 20 
Sonia Gomes,Vila Real, 02 09 13 14 
Alexandre Teixeira,Porto, 01 04 14 16 
Fernando Aguiar,Coimbra, 01 14 17 19 
Eduardo Chaves,Castelo Branco, 06 10 14 18 
Soraia Lopes,Viana do Castelo, 01 05 07 11 
Susana Jesus,Portalegre, 04 08 12 20 
Paulo Teixeira,Leiria, 01 06 09 16 
Fernanda Marques,Lisboa, 07 09 10 19 
Alexandra Bastos,Braganca, 02 04 09 20 
Fernando Pascoal,Leiria, 02 04 06 20 
Alexandra Aguiar,Portalegre, 03 06 10 11 
Filipa Gomes,Castelo Branco, 01 07 13 17 
Paulo Pinto,Coimbra, 04 07 10 17 
Beatriz Pereira,Lisboa, 07 12 16 17 
Alexandre Melo,Lisboa, 03 06 10 15 
Daniela Aguiar,Castelo Branco, 12 14 17 19 
Joao Salgado,Porto, 07 18 19 20 
Fernando Marques,Castelo Branco, 05 09 12 13 
Susana Santos,Viseu, 02 05 08 15 
Rogerio Marinho,Braganca, 01 05 12 19 
Susana Batista,Braga, 03 06 10 18 
Julio Pinho,Porto, 03 12 13 19 
Filipa Vilela,Porto, 01 04 07 11 
Inacio Marinho,Viana do Castelo, 13 17 18 19 
Joao Jesus,Beja, 02 04 09 20 
Soraia Oliveira,Porto, 02 03 04 09 
Diogo Chaves,Guarda, 04 08 15 17 
Agostinho Marques,Aveiro, 03 06 13 14 
Jose Santos,Faro, 03 07 09 12 
Zacarias Rodrigues,Viseu, 01 02 07 19 
Rogerio Morais,Faro, 01 02 05 14 
Filipa Batista,Santarem, 09 15 18 20 
Antonio Pereira,Leiria, 02 04 11 20 
Carla Trindade,Viseu, 02 04 12 18 
Paulo Pinto,Leiria, 01 06 13 20 
Zacarias Seabra,Faro, 04 11 16 17 
Sonia Pinho,Beja, 08 13 14 17 
Eduardo Pereira,Evora, 08 12 15 16 
Joao Nunes,Braganca, 05 08 09 17 
Julio Bastos,Porto, 03 07 10 12 
Julio Gomes,Evora, 04 12 14 20 
Antonio Batista,Vila Real, 03 10 13 14 
David Pinho,Lisboa, 02 09 12 19 
Maria Marinho,Viana do Castelo, 03 04 06 15 
Pedro Andrade,Braganca, 03 05 17 20 
Paula Barbosa,Leiria, 07 10 11 15 
Beatriz Pascoal,Leiria, 06 07 10 12 
Rogerio Pascoal,Coimbra, 02 09 14 19 
Xavier Lopes,Braganca, 03 11 14 19 
Julio Santos,Castelo Branco, 03 10 14 17 
Pedro Marques,Coimbra, 03 06 14 18 
Bernardo Chaves,Viseu, 01 05 08 15 
Pedro Andrade,Viana do Castelo, 03 04 12 15 
Carlos Pinto,Braga, 08 10 13 17 
Paulo Abreu,Viseu, 02 03 13 15 
Carla Teixeira,Porto, 05 10 16 19 
Daniela Salgado,Braganca, 08 10 12 19 
Alexandra Barbosa,Castelo Branco, 03 05 11 15 
Ana Jesus,Aveiro, 02 08 12 17 
Rogerio Andrade,Aveiro, 01 05 08 17 
Daniela Abreu,Setubal, 01 08 15 18 
Susana Rodrigues,Faro, 03 04 12 15 
Agostinho Vilela,Guarda, 01 04 12 13 
Luisa Costa,Evora, 10 14 15 18 
Luis Morais,Viana do Castelo, 03 04 06 17 
Carla Seabra,Setubal, 04 05 06 10 
Luis Pinho,Portalegre, 10 17 18 19 
Ana Teixeira,Leiria, 06 07 10 11 
Joao Silva,Braganca, 02 03 05 11 
Joana Marinho,Vila Real, 02 17 18 20 
Xavier Melo,Guarda, 03 04 11 15 
Carla Silva,Leiria, 08 10 11 19 
Maria Oliveira,Faro, 10 13 18 20 
Agostinho Barbosa,Braga, 02 04 11 15 
Bernardo Aguiar,Evora, 04 07 19 20 
Joao Morais,Braganca, 04 07 11 15 
Paulo Pereira,Viana do Castelo, 01 08 10 12 
Inacio Aguiar,Coimbra, 06 14 17 20 
Fernanda Seabra,Leiria, 09 13 17 18 
Pedro Silva,Porto, 05 12 18 20 
Luisa Pinto,Castelo Branco, 06 11 17 20 
Inacio Marinho,Portalegre, 02 08 14 16 
Fernanda Teixeira,Viana do Castelo, 01 08 12 18 
Xavier Morais,Braga, 02 04 05 19 
Daniela Jesus,Braga, 03 11 16 17 
Fernando Vilela,Lisboa, 03 08 12 14 
Fernanda Silva,Santarem, 04 08 15 17 
Joana Santos,Viseu, 05 17 19 20 
Julio Abreu,Faro, 04 08 09 18 
Carla Seabra,Guarda, 05 08 09 10 
Luisa Gomes,Portalegre, 05 07 09 11 
Eduardo Rodrigues,Vila Real, 01 02 13 17 
Bernardo Andrade,Setubal, 01 09 15 20 
Julio Lopes,Leiria, 01 04 05 10 
Luis Morais,Braga, 01 03 08 13 
Zacarias Oliveira,Santarem, 03 08 15 20 
Sonia Pinho,Castelo Branco, 06 07 10 18 
Antonio Abreu,Santarem, 05 09 10 13 
Xavier Santos,Porto, 01 08 15 16 
Bernardo Barbosa,Castelo Branco, 10 11 15 17 
Joao Andrade,Aveiro, 02 04 13 17 
Luisa Pascoal,Braga, 02 03 05 10 
Luis Seabra,Viana do Castelo, 04 11 12 17 
Diogo Teixeira,Portalegre, 01 05 12 13 
Ana Batista,Beja, 02 08 11 20 
Eduarda Trindade,Santarem, 01 05 07 16 
Alexandre Nunes,Braga, 02 03 09 10 
Agostinho Barbosa,Setubal, 06 08 10 18 
Alexandre Nunes,Lisboa, 02 11 14 18 
Helena Lopes,Aveiro, 02 04 05 12 
Luisa Abreu,Lisboa, 05 07 15 18 
Agostinho Nunes,Portalegre, 08 09 10 15 
Paula Pascoal,Setubal, 02 04 13 19 
Antonio Costa,Braga, 01 08 13 16 
Zacarias Lopes,Vila Real, 05 12 13 20 
Jose Seabra,Braganca, 04 06 10 18 
Carla Rodrigues,Braga, 04 05 06 12 
Bernardo Teixeira,Guarda, 02 09 10 11 
Fernanda Bastos,Beja, 01 02 05 11 
Eduardo Costa,Viseu, 01 10 14 17 
Antonio Bastos,Setubal, 07 09 10 19 
Maria Oliveira,Beja, 14 15 16 18 
Zacarias Chaves,Lisboa, 01 03 08 12 
Sonia Abreu,Viseu, 01 03 04 16 
Eduarda Teixeira,Lisboa, 04 10 14 17 
Susana Marques,Coimbra, 06 10 13 14 
Rogerio Andrade,Evora, 06 13 17 18 
Fernanda Costa,Castelo Branco, 06 12 13 19 
Inacio Bastos,Faro, 07 09 13 16 
Daniel Melo,Vila Real, 07 08 11 14 
Maria Silva,Portalegre, 05 10 12 17 
Diogo Costa,Portalegre, 02 06 09 19 
Helena Jesus,Vila Real, 11 12 14 20 
Luis Marinho,Faro, 03 07 10 12 
Pedro Morais,Viseu, 02 04 11 20 
Diogo Abreu,Leiria, 02 08 15 16 
Inacio Batista,Evora, 13 15 16 18 
Filipa Lopes,Viseu, 09 12 15 19 
Luis Bastos,Guarda, 04 07 10 11 
Fernanda Bastos,Lisboa, 03 06 14 15 
Soraia Morais,Braga, 06 07 08 19 
Bernardo Silva,Portalegre, 03 06 10 12 
Julio Melo,Portalegre, 02 03 11 12 
Alexandre Melo,Porto, 07 11 15 17 
Filipe Melo,Aveiro, 01 05 06 15 
Carlos Aguiar,Santarem, 03 14 15 17 
Eduardo Rodrigues,Santarem, 05 09 14 16 
Alexandre Batista,Aveiro, 02 15 16 19 
Carlos Seabra,Evora, 01 04 10 12 
Pedro Gomes,Lisboa, 07 11 13 15 
Eduardo Oliveira,Braga, 01 12 19 20 
Beatriz Marques,Vila Real, 03 12 18 19 
Beatriz Barbosa,Beja, 01 07 09 15 
Xavier Gomes,Viana do Castelo, 06 10 16 19 
Julio Marinho,Viseu, 09 11 15 18 
Luisa Vilela,Braga, 05 09 10 15 
David Seabra,Faro, 04 06 08 10 
Antonio Melo,Braganca, 04 05 12 16 
Sonia Barbosa,Guarda, 04 06 08 09 
Filipa Barbosa,Leiria, 06 12 13 20 
Joao Lopes,Lisboa, 02 12 13 16 
Alexandra Gomes,Leiria, 01 03 12 18 
Ana Oliveira,Setubal, 04 05 17 18 
Carla Nunes,Lisboa, 09 11 16 19 
Zacarias Morais,Beja, 02 03 14 15 
Alexandra Aguiar,Beja, 01 13 15 16 
David Seabra,Vila Real, 04 10 13 20 
Inacio Oliveira,Portalegre, 01 08 13 20 
Ana Lopes,Braganca, 02 04 10 18 
Eduardo Jesus,Aveiro, 02 14 18 20 
Beatriz Santos,Viseu, 03 10 13 15 
Helena Batista,Coimbra, 08 09 11 13 
Xavier Santos,Beja, 04 08 10 19 
Paula Morais,Viseu, 03 09 16 20 
Diogo Costa,Guarda, 03 10 12 20 
Agostinho Salgado,Portalegre, 02 05 06 15 
Bernardo Barbosa,Viseu, 04 10 15 20 
Eduardo Jesus,Setubal, 04 09 11 16 
Inacio Pinto,Portalegre, 02 05 14 20 
Susana Aguiar,Viseu, 05 10 11 18 
Paulo Bastos,Coimbra, 05 10 13 19 
Paula Pinto,Braga, 03 04 17 20 
Maria Pereira,Santarem, 03 05 18 20 
Daniela Pinto,Santarem, 01 05 13 17 
Fernanda Nunes,Santarem, 09 13 18 19 
Eduardo Pascoal,Braganca, 05 13 14 18 
Beatriz Chaves,Setubal, 07 12 19 20 
Eduardo Gomes,Porto, 02 06 15 19 
Carla Nunes,Porto, 04 14 18 20 
Helena Abreu,Faro, 07 08 10 13 
Xavier Pascoal,Viana do Castelo, 03 06 08 13 
Inacio Teixeira,Viana do Castelo, 02 11 17 20 
Jose Vilela,Viseu, 07 13 14 17 
Carla Pinto,Beja, 02 05 07 15 
Soraia Santos,Coimbra, 02 06 16 17 
Julio Pinto,Porto, 06 12 16 18 
Fernanda Pinho,Faro, 03 09 14 18 
Xavier Silva,Aveiro, 03 16 17 19 
Beatriz Marinho,Setubal, 02 09 13 15 
Joao Vilela,Castelo Branco, 01 03 12 14 
Joao Teixeira,Castelo Branco, 05 06 08 17 
Alexandre Silva,Vila Real, 05 06 14 20 
Alexandra Aguiar,Braganca, 02 09 13 20 
Beatriz Marques,Faro, 10 11 12 13 
Carlos Seabra,Faro, 02 15 17 18 
Jose Gomes,Faro, 07 11 17 20 
Antonio Pascoal,Braganca, 06 09 14 17 
Agostinho Nunes,Viseu, 03 11 17 18 
David Aguiar,Porto, 02 03 14 20 
Fernanda Abreu,Coimbra, 02 08 12 17 
Beatriz Bastos,Vila Real, 03 04 09 18 
Jose Pascoal,Castelo Branco, 01 02 06 12 
Soraia Lopes,Santarem, 07 12 13 20 
Alexandra Oliveira,Porto, 04 07 08 10 
Rogerio Aguiar,Portalegre, 02 10 14 20 
Luisa Barbosa,Castelo Branco, 04 10 15 17 
Eduardo Nunes,Vila Real, 02 06 07 14 
Bernardo Marques,Faro, 01 09 10 14 
Eduarda Pinto,Porto, 05 10 11 19 
Julio Aguiar,Lisboa, 04 09 13 17 
Paula Vilela,Beja, 05 10 13 15 
Julio Salgado,Beja, 02 07 17 20 
Paulo Aguiar,Faro, 04 08 11 15 
Ana Marques,Aveiro, 03 04 10 19 
Fernando Pinho,Viana do Castelo, 03 05 15 20 
Antonio Gomes,Braga, 04 08 14 16 
Carlos Pinto,Viseu, 05 06 13 20 
Julio Gomes,Braga, 09 13 14 17 
Jose Rodrigues,Evora, 01 05 07 18 
Rogerio Morais,Guarda, 07 08 11 13 
David Aguiar,Coimbra, 03 07 18 19 
Pedro Seabra,Lisboa, 01 02 03 05 
Joao Andrade,Porto, 08 12 13 20 
Helena Jesus,Evora, 10 12 14 16 
Joana Batista,Viseu, 02 12 13 19 
Daniela Salgado,Aveiro, 04 07 09 20 
Soraia Aguiar,Braga, 06 10 11 15 
Beatriz Oliveira,Aveiro, 09 14 17 18 
Paula Pinho,Guarda, 04 10 13 14 
Maria Barbosa,Faro, 05 06 10 12 
Ana Abreu,Coimbra, 03 10 17 18 
Filipe Barbosa,Santarem, 01 06 10 20 
Maria Pascoal,Guarda, 02 09 15 17 
Fernanda Santos,Leiria, 08 09 11 13 
Eduarda Melo,Evora, 03 06 14 15 
Joana Pinho,Castelo Branco, 02 07 12 19 
Filipe Costa,Guarda, 11 16 17 19 
Pedro Marinho,Braga, 01 10 16 17 
David Morais,Braga, 05 12 13 14 
Carla Barbosa,Faro, 03 05 09 18 
Paula Seabra,Porto, 01 04 08 12 
Susana Salgado,Leiria, 05 07 08 13 
Fernanda Seabra,Faro, 05 10 13 20 
Beatriz Santos,Aveiro, 04 09 12 15 
Carlos Trindade,Santarem, 02 03 18 19 
Soraia Santos,Coimbra, 05 09 18 20 
Eduarda Bastos,Faro, 05 11 14 15 
Inacio Jesus,Portalegre, 01 05 08 09 
Eduardo Seabra,Guarda, 03 09 12 17 
Zacarias Bastos,Evora, 05 09 11 12 
Filipa Pereira,Viseu, 03 08 16 20 
Carlos Oliveira,Santarem, 01 07 10 19 
Fernanda Bastos,Porto, 03 07 10 18 
Diogo Chaves,Portalegre, 08 10 13 20 
Rogerio Aguiar,Braganca, 01 03 12 16 
Ana Pinho,Castelo Branco, 07 08 14 17 
Jose Lopes,Setubal, 02 04 12 13 
Bernardo Jesus,Vila Real, 01 02 04 10 
Luisa Gomes,Setubal, 07 09 18 20 
Antonio Teixeira,Braga, 02 03 10 16 
Fernando Melo,Vila Real, 06 07 14 16 
Rogerio Gomes,Coimbra, 07 11 13 16 
Rogerio Bastos,Evora, 04 07 13 17 
Susana Oliveira,Evora, 01 04 05 14 
Antonio Salgado,Beja, 03 05 11 16 
Joana Rodrigues,Vila Real, 01 15 16 17 
Sonia Rodrigues,Coimbra, 05 07 09 13 
Paula Batista,Braganca, 02 08 13 19 
Alexandre Bastos,Porto, 02 12 14 17 
Carlos Abreu,Lisboa, 08 12 13 17 
Carlos Pinto,Beja, 07 10 13 19 
Eduardo Trindade,Beja, 02 03 13 16 
Daniela Bastos,Braga, 04 05 07 13 
Zacarias Gomes,Coimbra, 02 03 19 20 
Eduarda Marinho,Braganca, 05 08 12 19 
Helena Trindade,Portalegre, 09 13 17 20 
Beatriz Vilela,Braganca, 05 06 14 16 
Julio Marques,Porto, 01 07 13 14 
Rogerio Aguiar,Beja, 03 08 17 18 
Julio Santos,Evora, 09 11 18 20 
Pedro Lopes,Portalegre, 01 11 17 19 
David Batista,Evora, 03 05 14 17 
Soraia Chaves,Braga, 04 07 11 14 
Eduardo Oliveira,Viseu, 10 11 14 16 
Julio Trindade,Viseu, 07 11 12 14 
Fernanda Trindade,Castelo Branco, 02 06 19 20 
Maria Andrade,Portalegre, 12 13 16 19 
Alexandre Silva,Setubal, 01 07 12 18 
Paula Chaves,Lisboa, 07 09 10 14 
Inacio Salgado,Santarem, 01 06 08 09 
Alexandre Aguiar,Aveiro, 13 14 15 17 
Paulo Morais,Santarem, 03 10 15 19 
Julio Salgado,Leiria, 04 07 10 11 
Antonio Batista,Braganca, 02 04 10 18 
Inacio Marinho,Leiria, 02 03 05 15 
Agostinho Jesus,Coimbra, 03 07 09 14 
Alexandre Pinto,Viseu, 05 09 11 12 
Beatriz Pinho,Guarda, 11 12 18 20 
Bernardo Oliveira,Braganca, 01 06 14 20 
Soraia Chaves,Setubal, 02 04 15 20 
Fernando Vilela,Coimbra, 09 10 12 17 
Joana Abreu,Leiria, 02 06 16 17 
Filipe Aguiar,Portalegre, 04 09 10 17 
Luis Gomes,Viana do Castelo, 10 13 14 16 
Filipa Vilela,Porto, 02 03 14 16 
Alexandra Marques,Faro, 14 16 17 20 
Luisa Pinho,Viseu, 08 09 12 13 
Ana Chaves,Santarem, 02 05 09 13 
Helena Lopes,Beja, 09 11 15 18 
Ana Marinho,Setubal, 01 02 08 19 
Beatriz Melo,Santarem, 02 05 09 19 
Fernanda Jesus,Evora, 10 13 15 17 
Eduardo Pinho,Evora, 04 09 16 18 
Susana Bastos,Braganca, 04 11 15 16 
Alexandre Gomes,Braganca, 01 11 16 17 
Soraia Pereira,Viana do Castelo, 03 10 11 16 
Alexandre Jesus,Portalegre, 01 02 16 18 
Filipa Gomes,Setubal, 07 12 14 18 
Soraia Nunes,Beja, 03 07 15 20 
Fernanda Pereira,Evora, 02 16 18 20 
Beatriz Andrade,Setubal, 05 08 10 15 
Paula Bastos,Lisboa, 09 13 17 19 
Julio Batista,Faro, 02 04 12 16 
Jose Chaves,Viana do Castelo, 01 02 09 15 
David Aguiar,Lisboa, 02 08 13 19 
Filipe Barbosa,Porto, 04 17 19 20 
Carlos Trindade,Faro, 02 07 11 14 
Alexandra Vilela,Vila Real, 02 03 11 17 
Soraia Pascoal,Coimbra, 01 02 03 11 
Paula Lopes,Faro, 15 18 19 20 
Rogerio Trindade,Evora, 01 14 15 17 
Eduardo Pereira,Aveiro, 02 06 10 20 
Eduardo Marques,Viana do Castelo, 01 07 11 19 
Filipe Trindade,Lisboa, 06 09 17 18 
Alexandre Pascoal,Coimbra, 06 07 08 10 
Agostinho Aguiar,Castelo Branco, 06 07 10 20 
Eduardo Santos,Coimbra, 02 16 17 20 
Paula Melo,Lisboa, 01 06 13 14 
Bernardo Oliveira,Faro, 04 08 17 20 
Beatriz Jesus,Castelo Branco, 03 07 09 20 
Fernando Silva,Lisboa, 03 14 15 16 
Agostinho Bastos,Faro, 02 08 10 11 
Eduardo Batista,Viana do Castelo, 02 07 11 19 
Alexandre Barbosa,Viana do Castelo, 03 08 09 13 
Fernando Vilela,Coimbra, 04 13 18 19 
Sonia Pinto,Coimbra, 04 06 09 10 
Fernando Melo,Setubal, 02 03 05 09 
Paula Nunes,Porto, 04 06 09 13 
Agostinho Marinho,Beja, 03 08 13 14 
Joao Aguiar,Portalegre, 08 15 16 18 
Paula Rodrigues,Setubal, 04 06 14 17 
David Nunes,Setubal, 01 14 16 20 
Filipe Teixeira,Faro, 04 11 17 19 
Antonio Aguiar,Lisboa, 09 11 18 20 
Alexandre Lopes,Braganca, 06 10 11 16 
Paulo Gomes,Portalegre, 01 12 14 20 
Xavier Nunes,Portalegre, 02 04 09 15 
Filipa Aguiar,Porto, 05 11 16 20 
Daniela Vilela,Evora, 15 18 19 20 
Pedro Oliveira,Leiria, 05 11 12 13 
Daniel Melo,Portalegre, 06 07 10 17 
Joana Morais,Evora, 04 05 12 18 
Paulo Abreu,Leiria, 01 09 16 20 
Julio Vilela,Lisboa, 02 03 10 14 
Luisa Marinho,Faro, 01 08 16 17 
Helena Pinto,Faro, 01 04 11 13 
Susana Jesus,Lisboa, 04 11 16 18 
Inacio Seabra,Evora, 05 06 07 18 
Eduardo Batista,Santarem, 07 14 16 20 
Maria Pinto,Santarem, 08 09 11 20 
Carlos Vilela,Lisboa, 01 09 10 14 
Eduardo Bastos,Coimbra, 02 04 05 15 
Daniel Gomes,Coimbra, 10 13 16 18 
Alexandre Silva,Viseu, 04 09 12 16 
Agostinho Costa,Guarda, 05 15 18 19 
Helena Bastos,Aveiro, 03 09 12 14 
Carlos Seabra,Leiria, 05 09 10 18 
Alexandra Jesus,Guarda, 03 13 19 20 
Luis Melo,Evora, 01 03 16 18 
Luis Oliveira,Braganca, 02 03 07 20 
Luisa Aguiar,Leiria, 01 12 15 16 
Pedro Bastos,Setubal, 01 14 16 19 
Filipe Pinho,Santarem, 02 13 15 20 
Joana Andrade,Braganca, 06 09 11 16 
Joana Oliveira,Setubal, 09 10 11 12 
Joao Lopes,Lisboa, 01 12 16 19 
Joana Batista,Portalegre, 02 03 11 15 
Antonio Bastos,Vila Real, 06 12 18 20 
Beatriz Aguiar,Vila Real, 02 05 08 11 
Jose Pascoal,Viseu, 01 03 12 15 
Diogo Pereira,Braga, 04 06 15 18 
Joao Batista,Lisboa, 02 04 10 20 
Antonio Andrade,Viana do Castelo, 01 06 08 13 
Helena Costa,Aveiro, 03 06 10 19 
Diogo Teixeira,Beja, 03 08 10 20 
Filipa Abreu,Evora, 09 12 14 17 
Maria Teixeira,Faro, 02 15 19 20 
Filipa Costa,Leiria, 01 11 14 20 
Rogerio Silva,Faro, 04 10 17 19 
Xavier Barbosa,Santarem, 02 06 10 16 
Joana Silva,Porto, 02 05 11 19 
Alexandra Barbosa,Viana do Castelo, 03 13 15 18 
Filipe Costa,Setubal, 11 13 16 19 
Joao Pinto,Guarda, 04 06 07 17 
Alexandra Pinho,Guarda, 02 11 14 20 
Eduarda Rodrigues,Santarem, 07 12 13 14 
Fernanda Marinho,Braganca, 08 12 17 20 
Alexandra Melo,Castelo Branco, 03 07 15 19 
Julio Andrade,Setubal, 05 09 13 15 
Daniela Marinho,Evora, 07 08 14 15 
Daniel Oliveira,Aveiro, 07 14 15 19 
Soraia Nunes,Portalegre, 03 04 11 19 
Paula Pereira,Porto, 02 07 09 18 
Joao Aguiar,Braga, 01 04 05 17 
Bernardo Pinho,Leiria, 06 17 18 20 
Paula Bastos,Beja, 04 12 15 17 
Alexandra Marinho,Viana do Castelo, 02 06 16 17 
Alexandra Barbosa,Coimbra, 07 10 16 20 
Joana Salgado,Coimbra, 02 03 17 20 
Carla Pascoal,Coimbra, 06 07 09 12 
Paulo Jesus,Braga, 07 10 18 20 
Fernanda Oliveira,Lisboa, 10 12 13 17 
David Jesus,Aveiro, 05 06 10 14 
Helena Pereira,Faro, 01 02 12 19 
Ana Pereira,Viana do Castelo, 01 08 10 14 
Susana Costa,Guarda, 06 11 12 16 
Maria Costa,Lisboa, 01 03 05 13 
Inacio Nunes,Portalegre, 02 09 11 19 
Paulo Pinho,Vila Real, 01 16 17 20 
Pedro Costa,Beja, 02 05 08 20 
Maria Marques,Braganca, 02 08 10 17 
Daniela Trindade,Viana do Castelo, 07 09 10 13 
Daniela Silva,Beja, 01 09 10 16 
Susana Vilela,Castelo Branco, 06 08 17 20 
Joao Vilela,Aveiro, 01 03 04 09 
Zacarias Pinto,Setubal, 10 13 19 20 
Pedro Abreu,Viana do Castelo, 01 13 16 18 
Eduardo Abreu,Vila Real, 07 11 14 16 
Joana Seabra,Guarda, 02 06 12 16 
Soraia Morais,Aveiro, 02 05 09 13 
Paula Pascoal,Aveiro, 03 06 07 11 
Paula Gomes,Lisboa, 01 13 14 16 
Bernardo Marinho,Beja, 02 07 14 16 
Fernando Nunes,Guarda, 07 12 15 18 
Filipe Nunes,Guarda, 09 10 12 20 
Luisa Marques,Aveiro, 10 11 15 20 
Filipe Chaves,Setubal, 02 04 08 17 
Jose Andrade,Beja, 03 07 14 15 
