Beatriz Batista,2,1,X,2,2,X,1,2,1
Antonio Seabra,1,X,X,X,1,2,X,1,2
Carlos Rodrigues,2,X,1,2,2,1,X,2,1
Filipe Batista,X,X,2,X,1,1,2,1,1
Eduarda Morais,X,X,1,X,1,X,X,1,2
Carla Salgado,1,1,X,X,X,1,1,1,2
Helena Pinto,X,X,1,1,1,2,2,2,2
Carlos Morais,1,1,1,1,X,2,2,2,2
Filipe Morais,X,X,X,X,2,1,2,X,X
Helena Rodrigues,X,X,X,1,2,1,1,X,X
Carlos Trindade,2,X,1,2,X,X,1,1,2
Bernardo Morais,2,2,X,2,1,X,1,X,X
Bernardo Andrade,X,2,2,2,2,2,1,2,1
Luisa Andrade,2,2,1,X,2,2,X,X,1
Joao Pereira,1,2,2,2,X,X,X,1,1
Joana Nunes,1,1,2,1,X,2,1,X,1
Eduarda Pereira,1,X,X,2,2,X,X,2,X
Daniel Abreu,X,2,X,2,X,1,1,1,X
Filipe Pereira,1,X,1,2,1,X,1,1,2
Bernardo Abreu,1,X,2,2,X,X,X,2,2
Joana Seabra,2,X,1,1,1,2,1,X,X
Filipe Seabra,X,2,2,X,X,X,1,2,X
Carla Lopes,2,X,X,1,2,X,X,X,X
Daniel Morais,X,2,2,2,1,1,X,X,1
Helena Lopes,1,2,2,2,X,X,X,2,X
Joana Pinto,1,X,2,X,1,1,2,2,1
Joao Pereira,X,2,1,X,1,1,1,X,2
Antonio Santos,X,2,1,X,X,X,X,1,2
Helena Bastos,2,2,1,1,2,2,1,1,2
Joao Lopes,2,1,1,2,1,2,1,X,X
Joana Salgado,2,1,X,2,2,2,2,X,1
Filipa Pereira,2,X,1,X,X,1,1,1,1
Filipa Santos,2,1,1,1,X,X,1,2,X
Joao Pereira,2,1,1,X,X,2,X,1,2
Luis Santos,1,1,2,2,1,1,1,1,X
Filipe Batista,1,1,2,X,X,2,X,2,X
Carla Lopes,X,X,2,1,2,X,X,2,1
Eduardo Trindade,1,X,X,1,X,2,X,2,2
Bernardo Trindade,X,X,X,2,X,X,1,2,X
Daniel Andrade,1,2,2,2,X,2,1,1,2
Joao Pereira,1,2,2,2,2,1,1,2,X
Luisa Trindade,2,2,1,X,X,1,X,1,X
Helena Abreu,1,2,1,1,X,X,2,1,2
Joao Gomes,X,1,X,2,1,2,1,X,2
Beatriz Batista,2,2,X,X,1,2,1,2,2
Ana Lopes,2,X,X,1,2,X,X,1,1
Antonio Teixera,2,X,2,X,1,X,X,1,X
Carlos Pereira,1,1,1,X,1,1,2,2,1
Daniel Lopes,X,2,1,2,2,X,2,2,X
Carlos Abreu,1,X,1,1,X,2,2,1,X
Filipa Trindade,1,2,X,1,X,2,X,2,X
Carla Gomes,X,2,X,1,2,2,2,1,X
Bernardo Andrade,X,X,X,1,X,1,X,X,1
Carla Batista,X,1,1,X,X,2,2,1,X
Carla Abreu,1,1,2,1,X,2,2,1,X
Daniel Bastos,1,1,2,2,1,1,X,1,1
Joao Nunes,1,1,X,2,1,X,2,X,1
Joao Nunes,2,1,1,2,X,2,X,1,2
Antonio Abreu,1,2,1,1,1,X,1,2,X
Luis Nunes,2,X,1,X,1,2,X,X,1
Carlos Teixera,1,2,X,X,2,X,2,2,1
Daniel Bastos,2,2,2,X,1,X,2,X,X
Luis Teixera,2,X,2,X,X,X,1,2,1
Joana Abreu,X,X,2,X,1,2,1,1,1
Joao Abreu,1,X,2,1,X,X,2,1,1
Filipa Morais,X,2,X,1,X,2,2,2,X
Filipa Santos,2,X,X,1,1,1,1,X,1
Luisa Salgado,1,2,2,X,2,X,2,2,X
Bernardo Batista,1,1,X,2,X,1,1,1,2
Daniel Andrade,1,X,2,2,1,1,2,X,2
Antonio Gomes,1,2,1,1,2,X,X,X,2
Carlos Andrade,2,2,2,X,1,1,1,2,2
Antonio Abreu,X,2,1,X,1,1,1,X,X
Carla Teixera,2,1,1,X,X,1,2,2,2
Helena Abreu,1,2,X,1,2,2,X,X,1
Luis Morais,X,X,X,X,2,2,1,2,1
Carla Rodrigues,1,X,1,2,X,2,1,X,2
Eduarda Seabra,1,1,1,1,1,X,X,2,2
Filipa Seabra,2,2,1,1,1,X,X,2,1
Antonio Lopes,2,1,X,1,2,1,X,2,1
Eduarda Morais,2,1,X,X,1,1,2,X,X
Eduardo Bastos,2,1,X,1,2,2,1,1,X
Filipa Rodrigues,X,2,2,X,1,1,X,2,X
Filipe Trindade,1,2,2,1,X,X,X,X,1
Carlos Andrade,1,X,X,X,2,2,1,1,X
Luisa Morais,2,X,2,X,1,1,2,X,2
Luisa Lopes,1,X,2,2,X,1,1,1,1
Eduarda Rodrigues,X,1,2,2,X,2,1,X,1
Eduardo Abreu,1,1,2,2,1,1,X,1,1
Helena Teixera,X,X,X,1,X,2,1,1,2
Ana Rodrigues,1,2,2,2,1,X,X,1,2
Helena Batista,X,1,X,X,2,1,2,1,X
Joao Rodrigues,X,X,X,2,1,2,1,X,X
Filipa Rodrigues,X,2,2,X,X,2,1,2,1
Carla Bastos,2,2,1,1,2,1,X,1,2
Carlos Nunes,1,X,1,1,1,X,1,2,1
Carlos Gomes,2,2,2,2,X,2,1,2,1
Beatriz Morais,1,1,X,X,2,X,X,1,1
Ana Bastos,X,1,X,1,X,X,X,2,1
Carlos Nunes,2,1,X,1,X,1,1,X,1
Eduardo Abreu,2,2,2,1,1,X,2,X,X
Eduarda Rodrigues,1,1,X,1,2,1,X,2,2
Antonio Andrade,2,1,1,2,2,X,1,2,2
Joana Santos,2,X,2,1,2,1,X,X,2
Joao Andrade,X,X,1,X,X,2,1,X,2
Eduardo Santos,X,X,1,2,X,1,X,X,1
Luis Abreu,X,1,1,2,X,2,X,2,2
Luis Aguiar,1,1,X,X,1,1,2,2,2
Helena Gomes,X,X,X,2,X,1,X,1,1
Beatriz Morais,1,X,2,1,2,1,X,2,2
Eduarda Teixera,1,X,2,X,1,X,2,2,X
Daniel Salgado,1,2,1,2,X,2,X,2,1
Helena Seabra,2,1,1,1,1,1,1,2,2
Carla Batista,1,1,1,2,2,2,X,1,X
Luis Pereira,X,2,2,2,X,1,X,1,2
Daniel Lopes,2,X,X,1,1,X,X,1,1
Luisa Andrade,2,1,2,1,2,X,2,1,2
Ana Aguiar,2,1,1,2,X,1,X,X,X
Joao Bastos,2,2,X,1,1,1,X,1,1
Daniela Morais,1,1,2,2,2,2,X,X,1
Filipa Nunes,X,1,1,2,1,2,X,1,1
Helena Gomes,2,2,1,2,2,X,X,1,2
Filipa Santos,X,X,2,1,1,1,X,1,1
Joao Trindade,1,X,X,1,2,2,X,1,2
Beatriz Pinto,1,2,1,2,2,X,X,2,2
Luis Bastos,2,2,2,X,2,X,2,2,X
Joana Salgado,X,2,X,1,2,1,1,2,2
Daniela Lopes,X,2,X,1,X,2,X,X,1
Daniel Gomes,X,1,1,1,X,1,2,2,2
Beatriz Salgado,1,2,X,X,X,1,2,1,X
Daniela Nunes,1,1,1,2,2,X,1,X,X
Joana Nunes,1,2,2,2,2,2,2,2,2
Daniela Bastos,X,X,X,2,X,2,X,X,X
Ana Trindade,1,2,1,2,2,X,1,2,1
Beatriz Gomes,X,2,2,2,2,X,2,2,2
Daniela Seabra,2,2,X,X,2,1,X,1,2
Filipa Salgado,1,2,2,X,1,2,X,X,2
Filipe Santos,1,X,X,X,1,1,X,X,1
Joana Seabra,1,2,1,X,1,2,2,1,1
Luisa Seabra,X,X,X,2,X,2,1,2,1
Joao Batista,X,X,2,2,X,X,2,X,X
Joao Nunes,1,1,X,2,2,X,2,1,1
Luisa Gomes,X,X,X,1,1,2,1,X,1
Eduarda Salgado,1,2,X,X,2,X,X,X,1
Daniela Batista,2,1,X,1,X,1,1,1,1
Antonio Teixera,2,1,2,2,2,X,X,X,2
Eduardo Andrade,2,2,1,1,2,X,2,1,X
Ana Nunes,X,2,2,1,X,X,1,X,1
Joana Seabra,1,1,1,X,X,X,X,1,1
Bernardo Lopes,2,X,1,1,2,X,X,1,2
Eduarda Gomes,1,1,X,2,1,1,1,X,1
Helena Abreu,X,X,1,1,X,2,1,2,2
Antonio Santos,1,X,1,1,2,2,2,X,X
Joao Trindade,X,X,2,X,X,1,X,X,2
Luisa Batista,X,X,X,2,1,2,1,2,X
Daniel Batista,2,2,2,2,X,2,1,1,2
Ana Rodrigues,1,X,X,X,X,2,X,X,2
Daniela Trindade,1,1,X,2,2,1,2,1,1
Ana Santos,X,1,2,2,1,2,2,2,X
Helena Pereira,X,1,X,X,X,2,X,X,2
Antonio Seabra,X,2,X,X,X,2,1,1,1
Carla Teixera,X,2,1,1,2,1,2,1,X
Eduardo Seabra,1,2,2,1,2,1,1,1,2
Luis Andrade,X,2,2,X,X,2,2,X,1
Helena Pinto,2,1,2,1,2,1,X,X,X
Daniela Salgado,2,1,1,X,2,X,1,2,2
Filipe Aguiar,X,X,1,2,X,1,1,1,X
Antonio Pinto,X,2,2,1,1,X,X,X,2
Luisa Lopes,X,1,1,1,1,2,X,1,X
Eduarda Andrade,X,1,X,X,1,1,X,2,X
Helena Batista,1,2,2,1,X,X,X,1,1
Filipa Pinto,X,X,X,X,X,X,X,X,2
Filipa Seabra,X,2,2,2,2,2,X,1,1
Carla Batista,2,2,2,1,X,1,2,2,1
Filipa Pinto,1,1,1,X,2,X,X,2,X
Carlos Pereira,2,X,2,2,1,2,1,1,2
Helena Rodrigues,2,1,1,1,1,X,1,2,1
Daniela Andrade,2,X,1,X,X,X,X,X,X
Luisa Trindade,2,2,X,1,X,2,2,1,X
Eduardo Lopes,X,X,1,1,X,1,1,1,X
Carla Teixera,X,X,X,X,1,X,X,1,2
Joana Santos,1,1,X,2,1,2,X,2,X
Carla Andrade,1,X,2,1,X,1,X,1,X
Helena Nunes,1,X,X,1,X,2,1,1,X
Filipa Seabra,2,X,2,2,1,1,X,2,1
Bernardo Santos,1,2,2,2,1,2,1,2,X
Daniel Gomes,2,X,2,1,X,2,1,1,X
Beatriz Andrade,2,X,X,X,X,X,X,2,X
Daniel Seabra,1,1,1,2,2,X,X,1,X
Filipa Andrade,X,2,1,1,1,2,1,X,2
Eduarda Pereira,2,2,1,X,X,2,1,2,X
Bernardo Nunes,X,1,X,1,2,2,2,X,2
Joao Nunes,1,1,2,X,2,1,2,X,2
Carla Rodrigues,1,2,2,2,X,2,1,2,X
Eduardo Lopes,1,2,X,1,X,2,2,X,X
Eduarda Aguiar,1,1,2,X,1,2,X,2,X
Bernardo Rodrigues,2,X,1,X,2,1,2,1,2
Helena Aguiar,X,2,1,2,1,1,2,X,X
Beatriz Morais,X,2,1,X,X,X,1,X,1
Daniel Nunes,1,X,X,2,2,X,1,2,2
Daniela Salgado,2,X,2,X,2,X,1,1,1
Antonio Trindade,2,X,2,X,X,X,2,2,1
Daniela Morais,1,2,1,X,X,X,2,2,1
Helena Batista,1,X,1,1,X,1,1,2,1
Eduardo Pinto,X,1,2,1,X,X,1,X,2
Joana Pinto,2,1,1,1,1,1,2,2,X
Joao Bastos,2,1,1,2,X,X,2,X,2
Daniel Rodrigues,1,X,1,X,2,X,X,2,1
Beatriz Morais,1,1,2,1,2,1,1,2,1
Joao Gomes,2,X,X,2,X,1,2,1,1
Luis Bastos,X,2,2,1,2,X,2,X,1
Carla Salgado,X,X,2,1,X,2,1,X,2
Antonio Lopes,X,1,2,X,1,2,1,X,X
Joana Lopes,X,X,1,1,2,1,2,X,2
Eduardo Pereira,X,1,2,2,2,2,X,X,1
Eduardo Andrade,X,2,X,X,2,1,1,X,X
Antonio Santos,2,2,2,X,X,1,X,X,2
Joao Rodrigues,1,2,X,2,X,1,1,2,1
Antonio Seabra,2,X,2,X,X,X,1,2,1
Eduardo Rodrigues,1,2,1,X,2,2,1,X,1
Filipe Salgado,X,2,1,2,1,X,2,1,1
Joana Abreu,X,X,X,X,2,X,X,2,X
Bernardo Pinto,X,X,1,2,1,X,2,1,2
Filipa Nunes,2,2,X,X,2,X,2,2,2
Daniel Pinto,X,2,2,2,2,2,X,2,X
Daniel Lopes,1,2,X,2,1,1,1,1,X
Beatriz Pereira,X,X,X,1,1,2,2,2,2
Ana Andrade,2,X,X,2,1,X,X,X,X
Carla Santos,X,X,1,1,1,1,2,X,X
Ana Nunes,X,1,2,X,1,X,1,X,1
Bernardo Pinto,2,2,1,1,X,X,2,1,2
Antonio Gomes,1,2,1,1,X,X,X,X,X
Carla Seabra,2,1,X,1,1,X,1,X,X
Joao Teixera,2,1,1,X,2,2,X,1,1
Bernardo Morais,X,2,X,X,1,1,X,X,2
Luisa Bastos,2,1,2,2,X,1,X,1,1
Ana Morais,X,1,X,2,X,X,1,2,X
Eduarda Bastos,X,X,1,X,X,X,1,X,X
Luis Morais,X,2,1,1,1,1,1,2,X
Bernardo Teixera,1,X,X,2,2,2,X,1,1
Helena Andrade,1,X,1,1,2,1,1,2,X
Luisa Batista,2,2,2,1,X,X,X,X,X
Daniela Trindade,2,1,X,1,1,1,X,2,X
Eduarda Gomes,1,1,2,1,1,X,2,1,X
Carlos Abreu,1,2,1,1,X,X,1,X,2
Antonio Aguiar,1,X,1,2,2,X,X,X,1
Filipe Pereira,1,X,2,1,1,X,2,2,2
Luisa Batista,1,1,X,1,1,2,X,X,1
Joana Santos,X,2,2,1,2,2,X,X,1
Carla Andrade,2,1,1,X,2,X,2,X,2
Joana Morais,2,2,2,X,X,2,X,1,1
Eduarda Lopes,2,1,2,X,X,X,1,2,1
Eduarda Trindade,1,2,X,1,X,1,1,2,X
Eduarda Bastos,X,X,2,1,1,2,1,X,1
Helena Gomes,1,X,X,1,X,2,2,X,X
Helena Seabra,X,2,1,X,X,2,X,1,2
Daniel Bastos,X,1,X,X,2,2,2,2,X
Eduardo Lopes,2,1,X,2,1,1,1,2,X
Ana Abreu,1,2,2,2,2,2,X,1,1
Joana Aguiar,X,2,X,2,X,2,X,2,1
Filipe Aguiar,1,X,2,2,2,2,1,1,X
Eduarda Pereira,1,2,1,1,2,1,1,2,2
Eduarda Santos,X,1,1,2,1,2,X,X,1
Carlos Trindade,2,1,2,X,1,2,1,X,1
Carla Batista,2,1,1,X,2,1,X,X,2
Filipa Salgado,2,X,2,X,2,2,2,X,2
Bernardo Rodrigues,X,X,X,X,X,2,1,2,2
Daniel Batista,X,1,X,2,X,X,2,X,2
Joana Andrade,X,1,2,2,1,X,1,1,1
Filipe Aguiar,1,X,1,1,1,2,X,2,X
Bernardo Pereira,2,2,X,X,1,1,X,2,X
Eduardo Rodrigues,2,1,2,X,1,1,X,X,2
Joana Gomes,2,X,X,1,1,1,1,X,1
Daniel Batista,1,1,1,2,X,2,2,X,1
Helena Seabra,X,2,1,X,1,2,1,X,1
Eduardo Pinto,2,2,2,1,2,1,2,2,X
Carlos Pereira,X,2,2,X,1,2,X,1,X
Beatriz Pinto,1,2,X,X,X,1,2,1,X
Beatriz Gomes,1,2,1,X,2,1,X,X,2
Luis Lopes,X,2,X,X,X,X,X,1,2
Antonio Morais,2,1,2,2,1,1,X,X,2
Joana Andrade,2,X,2,1,2,2,X,2,1
Luisa Rodrigues,X,1,1,2,1,2,1,2,X
Beatriz Aguiar,1,1,2,2,1,X,1,2,X
Filipa Pereira,X,X,X,1,2,2,1,1,1
Joao Andrade,2,1,X,1,1,1,X,2,2
Beatriz Pereira,2,1,2,X,1,1,1,1,1
Joao Santos,2,X,2,2,1,2,1,X,2
Daniel Teixera,X,2,X,X,1,1,X,1,X
Filipa Gomes,X,X,1,2,X,2,1,1,1
Ana Lopes,1,1,2,1,2,2,1,1,2
Daniel Pereira,X,X,2,X,X,X,1,X,X
Daniela Seabra,X,X,1,X,1,2,X,2,1
Carlos Gomes,1,X,1,1,X,X,X,X,2
Ana Morais,1,2,X,X,1,X,X,2,2
Eduarda Lopes,X,X,X,1,1,1,X,2,1
Eduardo Pereira,2,X,1,1,X,X,1,1,X
Daniela Lopes,2,1,1,2,X,2,X,X,1
Joao Andrade,X,2,2,2,X,1,1,1,X
Daniel Aguiar,2,X,2,1,1,X,1,2,2
Luis Trindade,2,2,2,X,2,2,2,X,X
Joana Pereira,X,1,2,1,1,X,X,2,2
Daniela Gomes,X,1,1,X,2,2,1,X,X
Joao Abreu,2,X,X,2,2,1,2,X,1
Eduardo Lopes,2,X,1,2,X,1,X,1,1
Eduardo Pinto,X,1,2,2,1,2,1,1,2
Luis Bastos,X,2,X,X,X,1,1,2,X
Luis Nunes,2,2,1,2,X,2,X,X,X
Daniel Morais,2,2,2,1,1,1,2,2,X
Eduarda Teixera,X,1,2,X,1,2,1,1,1
Beatriz Pinto,1,X,X,X,X,2,2,2,X
Filipe Seabra,X,X,1,1,X,X,X,1,X
Luis Santos,2,2,2,X,X,2,X,2,X
Beatriz Seabra,1,2,1,X,X,2,X,X,2
Ana Salgado,2,1,1,X,2,X,X,2,2
Luis Teixera,2,2,2,2,2,1,X,1,X
Luisa Gomes,1,1,X,1,1,2,2,X,1
Eduarda Nunes,1,X,X,2,2,X,1,X,1
Joao Lopes,X,2,1,1,X,2,1,1,1
Carlos Salgado,2,X,X,2,X,X,2,X,X
Joao Lopes,2,2,2,2,1,X,X,2,X
Antonio Bastos,X,X,X,1,X,2,1,2,2
Filipa Santos,X,X,X,X,1,2,2,2,1
Luis Seabra,X,X,2,1,X,1,2,2,1
Filipe Abreu,2,X,X,2,1,2,X,1,X
Ana Abreu,1,X,1,2,X,2,X,X,X
Carla Rodrigues,2,1,X,2,X,X,2,X,X
Filipe Bastos,2,2,X,2,2,X,2,2,2
Luis Morais,1,1,2,X,X,1,2,X,2
Filipa Morais,2,1,1,1,1,X,2,X,1
Bernardo Rodrigues,2,1,2,1,1,1,1,2,2
Beatriz Lopes,1,1,1,1,2,2,X,X,1
Antonio Gomes,1,1,1,X,1,X,2,X,2
Helena Bastos,2,X,X,2,2,2,2,X,2
Carla Rodrigues,2,2,1,X,1,2,1,2,X
Filipe Teixera,2,X,X,X,2,X,1,1,2
Bernardo Pereira,2,X,X,2,2,2,1,2,X
Antonio Abreu,X,1,2,2,1,1,2,1,X
Beatriz Santos,2,2,2,X,2,X,X,X,2
Joana Andrade,X,1,1,1,X,X,2,X,2
Joao Seabra,1,2,X,1,1,1,X,X,1
Luisa Abreu,X,X,1,X,2,1,X,2,X
Luisa Aguiar,X,2,X,X,2,X,X,1,2
Bernardo Santos,1,2,1,X,X,1,1,2,X
Eduardo Bastos,X,1,2,2,X,2,2,X,2
Helena Santos,2,1,1,1,1,1,X,X,2
Filipa Seabra,X,1,X,1,2,X,1,X,1
Daniel Batista,1,2,X,X,2,X,2,1,1
Filipe Santos,2,2,2,X,1,2,1,1,X
Eduardo Andrade,1,X,X,X,2,X,1,X,2
Carla Rodrigues,1,2,X,2,1,2,2,1,1
Luis Salgado,1,X,2,1,2,1,1,2,2
Luis Batista,1,1,1,2,X,2,2,1,1
Joana Batista,X,1,2,X,X,1,X,X,X
Filipe Santos,1,X,2,2,1,X,1,X,X
Carlos Lopes,2,2,X,1,X,2,2,2,1
Antonio Pinto,2,2,1,2,X,1,X,X,X
Carlos Pinto,1,1,2,1,2,1,X,X,2
Luis Lopes,1,1,X,1,2,X,1,1,2
Ana Aguiar,X,X,2,1,2,1,X,1,2
Eduardo Pinto,1,1,X,1,X,X,X,1,2
Daniela Salgado,1,2,X,X,2,2,1,X,1
Carla Morais,1,1,2,X,2,2,X,2,X
Beatriz Abreu,2,X,1,X,2,1,X,X,2
Beatriz Rodrigues,1,X,2,1,2,1,2,2,2
Antonio Pinto,2,1,1,2,2,X,X,2,2
Daniela Pinto,1,X,2,2,X,2,X,2,1
Eduarda Pinto,X,1,2,1,X,2,1,1,X
Joao Nunes,2,2,1,X,1,2,1,X,2
Joana Trindade,X,X,1,X,X,X,1,2,X
Eduarda Teixera,1,2,1,X,2,X,X,2,X
Helena Andrade,1,1,2,2,X,2,1,X,X
Filipe Lopes,1,2,X,X,X,X,2,1,2
Carla Gomes,1,1,1,X,1,2,1,X,1
Filipa Gomes,2,X,1,2,2,X,X,X,2
Joao Batista,X,X,2,1,2,1,X,X,X
Beatriz Aguiar,2,X,X,2,X,X,X,2,X
Daniel Andrade,2,2,2,X,X,2,X,X,X
Bernardo Santos,X,2,X,2,2,2,1,1,1
Bernardo Rodrigues,2,2,1,2,1,1,X,1,X
Carlos Nunes,X,2,X,2,X,1,2,2,1
Joao Pereira,X,2,1,X,1,2,2,X,X
Carla Bastos,X,2,2,X,X,1,X,1,2
Luisa Trindade,1,1,1,2,1,1,2,X,X
Joana Aguiar,1,X,1,X,1,2,2,2,X
Carlos Morais,1,1,1,1,X,X,2,1,2
Bernardo Gomes,X,1,X,X,X,1,2,2,2
Ana Morais,2,2,X,2,2,X,2,2,1
Eduarda Pereira,X,1,1,X,2,2,1,X,2
Daniel Santos,2,2,2,2,X,2,X,1,X
Joana Santos,X,2,2,2,1,X,1,X,1
Daniela Pereira,1,1,X,1,X,2,X,1,1
Daniela Rodrigues,2,2,2,X,X,1,X,X,1
Carla Trindade,2,2,2,2,2,X,X,X,2
Ana Teixera,1,1,1,1,1,X,2,X,X
Ana Seabra,X,1,X,2,X,X,1,2,2
Joana Salgado,X,X,2,2,X,1,2,2,2
Bernardo Pereira,2,1,X,1,X,X,1,1,2
Helena Seabra,1,X,2,2,1,1,2,1,2
Luis Pereira,X,1,2,1,2,1,2,2,1
Carla Bastos,1,1,X,2,X,X,1,1,X
Carla Trindade,X,X,1,X,2,1,1,2,1
Daniel Abreu,X,2,X,X,2,2,X,X,X
Beatriz Andrade,2,1,2,X,1,1,X,X,X
Beatriz Santos,X,X,1,1,X,2,1,1,X
Filipa Salgado,X,1,X,X,1,X,2,2,2
Ana Lopes,X,1,1,2,2,2,2,X,X
Eduarda Aguiar,1,2,2,2,2,1,2,X,X
Daniel Seabra,X,X,1,X,1,1,1,X,1
Beatriz Trindade,2,1,1,1,2,2,X,1,X
Filipa Aguiar,1,1,1,2,1,1,X,2,1
Daniel Morais,1,2,2,1,1,2,1,X,X
Daniela Andrade,X,2,2,1,X,2,2,X,1
Helena Rodrigues,X,X,X,2,1,1,X,X,1
Antonio Santos,1,1,1,X,X,2,2,1,1
Filipa Gomes,1,2,1,1,1,X,1,2,1
Bernardo Teixera,2,2,1,2,2,X,2,2,X
Ana Aguiar,2,2,X,X,2,2,2,2,1
Filipa Trindade,1,X,X,X,1,X,2,1,X
Carlos Seabra,X,1,1,X,2,1,2,2,2
Daniela Morais,1,1,1,X,2,X,1,2,1
Carlos Rodrigues,2,X,1,X,2,X,X,1,X
Filipe Trindade,X,2,1,2,2,2,X,X,X
Luis Batista,2,1,2,X,X,2,2,1,X
Helena Pereira,X,1,X,X,2,1,X,1,1
Beatriz Pinto,1,X,X,X,2,X,1,2,1
Bernardo Salgado,X,1,1,2,X,X,1,2,X
Eduarda Pereira,1,X,1,X,2,1,2,2,1
Helena Andrade,1,X,X,2,X,1,X,2,1
Filipa Lopes,1,2,1,2,1,2,X,2,1
Eduarda Pinto,1,1,1,2,2,2,1,2,2
Bernardo Morais,X,X,2,2,1,2,X,1,X
Joana Morais,X,2,1,X,X,2,1,1,2
Eduardo Seabra,X,2,X,2,1,1,1,1,2
Ana Trindade,X,X,1,X,X,X,2,X,1
Luisa Salgado,X,X,1,X,1,2,X,2,1
Eduardo Abreu,1,X,X,2,X,1,1,1,2
Daniel Abreu,X,1,2,2,2,X,2,1,X
Beatriz Pereira,X,X,2,2,2,X,1,1,2
Luisa Trindade,2,X,X,2,2,2,1,1,X
Luis Morais,1,1,X,1,X,X,X,2,X
Beatriz Andrade,1,1,1,2,2,1,2,2,1
Filipa Gomes,X,X,2,1,2,2,2,1,X
Bernardo Aguiar,2,1,X,2,2,2,1,X,2
Eduardo Gomes,X,X,2,X,X,2,X,X,1
Filipa Abreu,X,2,X,2,1,X,2,X,X
Bernardo Bastos,1,X,X,2,2,1,X,1,1
Luis Nunes,1,X,2,1,X,2,X,2,1
Daniela Aguiar,1,1,1,2,2,2,1,1,1
Joao Teixera,2,1,2,X,X,2,1,X,2
Carlos Abreu,1,X,2,X,2,1,2,X,1
Beatriz Rodrigues,2,2,2,1,1,X,1,2,X
Daniel Salgado,X,1,X,2,2,1,2,1,X
Filipa Lopes,2,1,2,X,X,2,X,2,2
Helena Trindade,1,2,2,X,1,X,X,X,X
Carla Andrade,1,X,X,X,X,1,2,2,2
Ana Bastos,X,2,X,1,X,1,X,X,1
Beatriz Pereira,X,1,2,2,1,2,X,X,1
Luisa Santos,2,1,2,1,1,1,1,X,1
Carla Rodrigues,1,1,2,1,X,2,X,2,X
Eduardo Seabra,X,X,X,1,2,X,2,2,X
Daniela Aguiar,X,X,2,1,X,2,2,1,2
Beatriz Gomes,X,1,2,X,1,X,1,X,1
Bernardo Pinto,X,X,1,1,2,2,2,1,X
Eduarda Lopes,2,2,X,X,2,1,1,X,1
Carla Nunes,X,2,2,X,X,1,1,2,2
Daniela Nunes,X,1,X,X,2,1,2,X,X
